s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
1904.4471057,12.4853788,-204.0995513,-0.6181421,0.0366355,16.7689237,1.522457
1906.4454762,13.5830332,-202.4303215,-0.5453618,0.0362425,16.9493855,1.4086534
1908.4438467,14.5570734,-200.6858064,-0.4731559,0.0360515,17.1146631,1.2570142
1910.4422173,15.4029507,-198.8756651,-0.4011341,0.0360594,17.2608126,0.2033602
1912.4405878,16.1162156,-197.0093687,-0.3289015,0.0362662,17.2843406,-1.3402287
1914.4389583,16.6924256,-195.0962282,-0.2560522,0.0366703,17.128686,-1.4199925
1916.4373288,17.1269038,-193.1462051,-0.1821941,0.0372858,16.9622092,-1.4273776
1918.4356994,17.4149816,-191.1689742,-0.1068887,0.038115,16.7932035,-1.3431055
1920.4340699,17.5516806,-189.1756058,-0.0297084,0.0391471,16.6326077,-1.1801231
1922.4324404,17.5320946,-187.1781209,0.0497438,0.0404146,16.4902089,-0.9345921
1924.4308109,17.3513142,-185.1880515,0.1319315,0.0418843,16.3765585,-0.6741165
1926.4291814,17.0047637,-183.2201768,0.2171554,0.0432841,16.2940909,-0.3711827
1928.427552,16.4896833,-181.2906335,0.305057,0.0446712,16.2485039,-0.1645975
1930.4259225,15.8045859,-179.4136192,0.3951789,0.0455657,16.2282477,-0.1645975
1932.424293,14.9527392,-177.6079837,0.4861806,0.0449469,16.2079663,0.0283327
1934.4226635,13.9422884,-175.8854205,0.5742004,0.0429011,16.2114592,0.560847
1936.421034,12.7885609,-174.2552792,0.6564683,0.0394696,16.2804475,1.3728143
1938.4194046,11.5103942,-172.7211977,0.7314662,0.0354793,16.4480927,2.2323494
1940.4177751,10.1244342,-171.2793386,0.7985064,0.0315479,16.7171133,3.0088955
1942.4161456,8.6517834,-169.9289746,0.8575578,0.0276054,17.0730095,3.7711976
1944.4145161,7.1068839,-168.6616499,0.9085256,0.0232415,17.5088592,4.6834809
1946.4128866,5.5040805,-167.4669528,0.9504994,0.0187398,18.0354876,5.0967007
1948.4112572,3.8582609,-166.3334916,0.983385,0.0141857,18.5916381,5.0839694
1950.4096277,2.180637,-165.2469049,1.0071631,0.0095759,19.1302983,5.0712698
1952.4079982,0.4829527,-164.1928833,1.0216459,0.0049088,19.6529099,5.058602
1954.4063687,-1.2251416,-163.1554436,1.0267338,0.0001778,20.1607239,-4.195467
1956.4047392,-2.933774,-162.1184795,1.0223069,-0.0046238,19.7404811,-8.867254
1958.4031098,-4.6321215,-161.0661515,1.0082313,-0.0094684,18.8214366,-7.5569749
1960.4014803,-6.3106113,-159.9816418,0.984451,-0.0143362,18.0012001,-6.4590025
1962.3998508,-7.9573347,-158.8495059,0.9509355,-0.0192047,17.2692861,-5.5141956
1964.3982213,-9.558991,-157.6553294,0.9076844,-0.0241082,16.618948,-4.6579157
1966.3965918,-11.1014429,-156.3852158,0.854495,-0.0291299,16.0490794,-3.8636537
1968.3949624,-12.5671324,-155.0277481,0.7912322,-0.0342281,15.5605567,-3.0835814
1970.3933329,-13.9366964,-153.5731692,0.7176475,-0.0394247,15.159375,-2.2398435
1972.3917034,-15.1873768,-152.0153684,0.6335067,-0.0448177,14.8611768,-1.3456952
1974.3900739,-16.2935135,-150.3524609,0.5387106,-0.0500704,14.6791069,-0.5864611
1976.3884444,-17.2281894,-148.5868783,0.4335043,-0.0541764,14.5990495,-0.5799739
1978.386815,-17.9677678,-146.731339,0.3248977,-0.0546523,14.5194435,-0.5325529
1980.3851855,-18.5011627,-144.8064012,0.2160852,-0.0538508,14.4459602,-0.8105043
