s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
1327.2102219,-222.7296879,-64.7519088,1.6267479,-0.018273,21.3272219,-3.2446083
1329.2090324,-224.7271277,-64.8256708,1.5879449,-0.020439,21.0209343,-2.5766987
1331.207843,-226.7211899,-64.8179243,1.545218,-0.0224595,20.7744799,-1.4723381
1333.2066536,-228.7193006,-64.7198616,1.4973309,-0.0253556,20.632333,-0.6980487
1335.2054642,-230.7059042,-64.5213748,1.4444506,-0.0273497,20.5645965,-0.2636554
1337.2042747,-232.680283,-64.2145643,1.3883857,-0.0284462,20.5389541,-0.2636554
1339.2030853,-234.6345269,-63.7968617,1.3323161,-0.0276822,20.5132797,0.0885023
1341.2018959,-236.5626486,-63.2717035,1.2776628,-0.0270188,20.5219015,0.357836
1343.2007065,-238.4601736,-62.6430189,1.2242691,-0.0263662,20.5567248,0.5940814
1345.199517,-240.3217285,-61.9153352,1.1722763,-0.0256806,20.6144087,0.8213426
1347.1983276,-242.1435407,-61.0930907,1.1216322,-0.0249771,20.6938943,1.0362131
1349.1971382,-243.9218398,-60.1810209,1.0723515,-0.0243757,20.7937406,1.1902159
1351.1959488,-245.6536483,-59.1833759,1.0241302,-0.0238753,20.9078378,1.2900027
1353.1947593,-247.3356819,-58.104342,0.9768372,-0.0234637,21.0308018,1.3457042
1355.1935699,-248.9654894,-56.9474741,0.9303054,-0.0231015,21.1583137,1.3782391
1357.1923805,-250.5403108,-55.7164607,0.8844456,-0.0227884,21.2881168,1.3894107
1359.1911911,-252.0572235,-54.4152186,0.8392119,-0.0224857,21.4181758,1.398233
1361.1900016,-253.5143387,-53.0469297,0.7945369,-0.0222009,21.5482682,1.401299
1363.1888122,-254.909178,-51.6154586,0.7504231,-0.0219386,21.6778625,1.3966948
1365.1876228,-256.2400558,-50.1241002,0.7068642,-0.021655,21.8062647,1.4055588
1367.1864334,-257.5053176,-48.5763287,0.6638451,-0.0213658,21.934723,1.4194999
1369.1852439,-258.7029308,-46.9764586,0.6214134,-0.0210864,22.0636963,1.430747
1371.1840545,-259.8321754,-45.3274277,0.5795818,-0.020781,22.1929331,1.4570048
1373.1828651,-260.8924513,-43.6321497,0.5383446,-0.0204581,22.3237728,1.4932294
1375.1816757,-261.8818833,-41.896047,0.4977926,-0.0200478,22.4570746,1.5742972
1377.1804862,-262.8009045,-40.122056,0.4584038,-0.0193706,22.5967617,1.7899908
1379.1792968,-263.6507486,-38.3134079,0.420338,-0.0187039,22.7545456,1.9920824
1381.1781074,-264.4321818,-36.4749523,0.3837449,-0.0179296,22.9288669,2.2452346
1383.176918,-265.1479339,-34.6079111,0.3486822,-0.0171473,23.1237656,2.4970255
1385.1757285,-265.7985242,-32.7193562,0.3150406,-0.0165304,23.3386096,2.6556197
1387.1745391,-266.3865014,-30.8099959,0.2826041,-0.0159656,23.5649498,2.7871066
1389.1733497,-266.9138186,-28.8807557,0.2511931,-0.0154497,23.8001818,2.8944824
1391.1721603,-267.3808744,-26.9378657,0.2207967,-0.0149755,24.0420402,2.9826319
1393.1709708,-267.7894825,-24.9824082,0.191348,-0.0145062,24.2887449,3.073446
1395.1697814,-268.1416234,-23.013646,0.1627885,-0.0140456,24.5403668,3.1649152
1397.168592,-268.438184,-21.036844,0.1351877,-0.0135761,24.796809,3.2680325
1399.1674026,-268.6808933,-19.0537987,0.1085551,-0.0130755,25.0588525,3.3968539
1401.1662131,-268.8718732,-17.0631106,0.0828979,-0.0125719,25.3283522,3.5338653
1403.1650237,-269.0127101,-15.0690207,0.0582971,-0.0120473,25.6057119,3.6913649
1405.1638343,-269.1054974,-13.0728041,0.0348045,-0.011446,25.8922606,3.9074863
1407.1626449,-269.1525986,-11.0739716,0.0125002,-0.0109047,26.1921708,4.0902513
1409.1614554,-269.1560735,-9.0751094,-0.0088864,-0.0104936,26.5024732,4.1904808
1411.160266,-269.1175872,-7.0774547,-0.0295592,-0.0102314,26.816656,4.1928026
1413.1590766,-269.0382161,-5.0798266,-0.0497911,-0.010016,27.1273713,4.1693278
1415.1578872,-268.9188766,-3.0845784,-0.06963,-0.0098352,27.4328574,4.1280903
1417.1566977,-268.7603826,-1.0926983,-0.0891279,-0.0096889,27.7320069,4.0679465
1419.1555083,-268.563203,0.8971187,-0.1083741,-0.0095644,28.0236742,3.9980227
1421.1543189,-268.3281146,2.881902,-0.1273834,-0.0094601,28.3074001,3.9187027
1423.1531295,-268.0555391,4.8618842,-0.1461969,-0.0093673,28.5827638,3.8365638
1425.15194,-267.7458054,6.8372084,-0.1648473,-0.0092881,28.8498096,3.7491879
1427.1507506,-267.3995857,8.8056742,-0.1833321,-0.0092125,29.1084068,3.6647022
1429.1495612,-267.017094,10.7678388,-0.2016839,-0.0091461,29.3589754,3.5778149
1431.1483718,-266.5988338,12.722462,-0.2199102,-0.0090901,29.6015572,3.4870964
1433.1471823,-266.1450738,14.6694502,-0.2380059,-0.0090171,29.8360902,3.4166502
1435.1459929,-265.6562493,16.6080624,-0.2559867,-0.0089776,30.0641107,3.3207105
1437.1448035,-265.1330856,18.5362173,-0.2739097,-0.0089641,30.2840832,3.2056088
1439.1436141,-264.5750485,20.4564536,-0.2916724,-0.0087984,30.4949259,3.2368122
1441.1424246,-263.9837316,22.3653898,-0.3089825,-0.0084287,30.706352,3.4634137
1443.1412352,-263.3604485,24.2639073,-0.325253,-0.007853,30.9309791,3.8888674
1445.1400458,-262.7070864,26.1533441,-0.340423,-0.0073246,31.1812714,4.2707885
1447.1388564,-262.0262859,28.0325805,-0.3545375,-0.0067966,31.45385,4.657516
1449.1376669,-261.3201303,29.9021164,-0.3675852,-0.0062604,31.7484435,4.6700227
1451.1364775,-260.5903912,31.763289,-0.3795675,-0.0057271,32.0411087,4.6583546
1453.1352881,-259.8395426,33.6156183,-0.3904809,-0.0051933,32.3304034,4.6467156
1455.1340987,-259.0695657,35.4599181,-0.4003258,-0.0046581,32.6164191,4.6351058
1457.1329092,-258.2822563,37.2974223,-0.4091025,-0.0041224,32.899243,4.6235249
1459.1317198,-257.4799716,39.1280597,-0.4168054,-0.0035853,33.1789586,4.6119729
1461.1305304,-256.6646245,40.9528239,-0.4234333,-0.0030468,33.4556454,4.6004499
1463.129341,-255.8380126,42.7729576,-0.4289845,-0.0025068,33.7293799,4.5889556
1465.1281515,-255.0024261,44.5886341,-0.4334537,-0.001965,34.0002349,4.57749
1467.1269621,-254.1597352,46.400973,-0.4368382,-0.0014215,34.2682804,4.5660531
1469.1257727,-253.3117215,48.2112168,-0.4391889,-0.0009392,34.5335836,4.5546448
1471.1245833,-252.4604367,50.0195794,-0.4406298,-0.0005708,34.7962087,4.5432649
1473.1233938,-251.6070462,51.8269307,-0.4415984,-0.0003984,35.0562176,4.5319135
1475.1222044,-250.7520455,53.6338751,-0.4422902,-0.0003066,35.3136696,4.5205905
1477.121015,-249.8960682,55.440019,-0.442827,-0.0002317,35.568622,4.5092957
1479.1198256,-249.0392544,57.245764,-0.4432189,-0.0001604,35.8211296,4.4980292
1481.1186361,-248.1817279,59.0515162,-0.443468,-8.89E-05,36.0712454,4.4832285
1483.1174467,-247.3240156,60.856832,-0.443574,-1.71E-05,36.3188242,4.4596482
1485.1162573,-246.4662398,62.6621223,-0.4435364,5.48E-05,36.5634377,4.436275
1487.1150679,-245.6085243,64.4677961,-0.4433549,0.0001266,36.8051562,4.413105
1489.1138784,-244.751406,66.2733909,-0.4430318,0.0001926,37.0440474,4.3901342
1491.112689,-243.8949795,68.0793144,-0.4425931,0.0002464,37.2801762,1.1091809
1493.1114996,-243.0392754,69.8859405,-0.4421028,0.0002323,37.3395986,-12.5476085
1495.1103102,-242.1845398,71.6926871,-0.4416708,0.0001924,36.6617654,-12.5814917
1497.1091207,-241.3305055,73.4997328,-0.4413489,0.0001296,35.9692786,-12.6409614
1499.1079313,-240.4767516,75.3072374,-0.4412756,-8.07E-05,35.2598245,-12.4701338
1501.1067419,-239.6229796,77.11404,-0.4416461,-0.0002311,34.5456851,-12.4701444
1503.1055525,-238.7682397,78.9208478,-0.4420851,-0.000208,33.816467,-12.4768552
1505.104363,-237.9129534,80.7268846,-0.4424648,-0.0001698,33.0707681,-12.4916763
1507.1031736,-237.0567782,82.5332089,-0.4427722,-0.0001539,32.3069453,-12.4389519
1509.1019842,-236.1999993,84.3393414,-0.4431094,-0.0001834,31.5279637,-12.3938909
